geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop10,areakm,popdens,prc_native,vbm_rate_tot,vbm_rate_lat,vbm_rate_asn,vbm_rate_youth
4005000100,5,0.01032,1,0.97445,0,0.08876,0,0.06089,0,0.03867,0,0.02388,1,0.00512,1,0.11089,0,0.78959,0,0.02503,0,0.43687,0,0.00648,0.01175,3804,8.4765,448.76992,0.04232,0.82352,0.70353,0.27441,0.79091
4005000200,5,0.01737,1,0.94828,0,0.04971,0,0.11861,0,0.12364,0,0.03844,1,0.00182,1,0.16519,0,0.70182,0,0.02784,0,0.0,1,0.09434,0.03068,3788,10.19181,371.67085,0.07946,0.79109,0.70984,0.61855,0.74047
4005000300,5,0.13791,0,0.9314,0,0.1259,0,0.23451,0,0.12116,0,0.00746,1,0.02019,1,0.379,0,0.41938,0,0.0375,0,0.42583,0,0.03934,0.02497,7175,4.97759,1441.46046,0.23805,0.72114,0.67532,0.84895,0.67789
4005000400,5,0.02514,0,0.98742,0,0.0615,0,0.11352,0,0.07868,0,0.0061,1,0.03269,1,0.18341,0,0.65423,0,0.03454,0,0.464,0,0.03819,0.02167,5373,2.73977,1961.11004,0.16657,0.72101,0.67202,0.71965,0.68014
4005000500,5,0.09104,0,0.96577,0,0.14392,0,0.10086,0,0.09422,0,0.00276,1,0.00553,1,0.25311,0,0.57447,0,0.02348,0,0.23028,0,0.03654,0.0244,4396,10.60501,414.52091,0.17561,0.66946,0.59077,0.03315,0.58847
4005000600,5,0.02429,1,0.99405,0,0.06143,0,0.08143,0,0.11669,0,0.01805,1,0.00095,1,0.05739,0,0.81794,0,0.039,0,0.12966,0,0.01062,0.03701,5461,54.53703,100.13381,0.09302,0.76991,0.69862,0.87158,0.61994
4005000700,5,0.0173,1,0.97804,0,0.05015,0,0.11333,0,0.11036,0,0.02213,1,0.00729,1,0.17458,0,0.69563,0,0.02583,0,0.51783,0,0.05427,0.01431,3647,6.47261,563.45134,0.11023,0.75058,0.69458,0.522,0.64221
4005000800,5,0.04009,0,0.92269,0,0.06321,0,0.43795,0,0.52565,0,0.01045,1,0.02875,0,0.21268,0,0.55015,0,0.0525,0,0.37674,0,0.15573,0.03863,4122,5.96074,691.52534,0.16642,0.67071,0.63821,0.78308,0.5827
4005000900,5,0.022,1,0.98893,0,0.08096,0,0.16008,0,0.13824,0,0.06653,1,0.01293,1,0.15462,0,0.60109,0,0.04434,0,0.11864,0,0.02115,0.04732,6905,40.12187,172.10066,0.11267,0.73699,0.69082,0.85833,0.65592
4005001000,5,0.02603,0,0.86233,0,0.03731,0,0.70174,0,0.94607,0,0.03776,0,0.05611,0,0.18952,0,0.65516,0,0.11062,0,0.79222,0,0.09547,0.03058,8156,2.79037,2922.91274,0.06498,0.58143,0.55799,0.49547,0.57351
4005001101,5,0.0469,1,0.98217,0,0.06877,0,0.21207,0,0.21861,0,0.04424,0,0.00998,1,0.13403,0,0.76925,0,0.03262,0,0.26501,0,0.01229,0.02609,4797,7.717,621.61456,0.03669,0.76279,0.77792,0.87496,0.66712
4005001102,5,0.06682,0,0.93966,0,0.07824,0,0.26591,0,0.2872,0,0.05996,0,0.00851,1,0.23852,0,0.53244,0,0.05925,0,0.52857,0,0.06347,0.03233,6650,6.25663,1062.87304,0.1206,0.67535,0.67331,0.51468,0.59721
4005001200,5,0.03517,0,0.93447,0,0.11629,0,0.11,0,0.07757,0,0.03199,1,0.00184,1,0.09412,0,0.83493,0,0.02011,0,0.0,1,0.11878,0.03971,2864,13.9929,204.67524,0.04085,0.74095,0.67803,0.83585,0.6234
4005001301,5,0.00206,1,0.97663,0,0.10287,0,0.05443,0,0.06335,0,0.00366,1,0.0,1,0.11516,0,0.70094,0,0.03675,0,0.21205,0,0.01915,0.03554,5102,53.41618,95.51412,0.12917,0.72342,0.69148,0.0,0.66238
4005001302,5,0.02055,0,0.99179,0,0.0914,0,0.08713,0,0.049,0,0.00657,1,0.0,1,0.15001,0,0.71987,0,0.03754,0,0.22876,0,0.0164,0.03512,5536,784.17189,7.05968,0.12211,0.70944,0.71966,0.01986,0.70636
4005001500,5,0.00035,1,0.99864,0,0.09884,0,0.0875,0,0.062,0,0.0,1,0.00103,1,0.0875,0,0.79917,0,0.02358,0,0.0,1,0.00448,0.05596,3186,6951.31102,0.45833,0.04896,0.75129,0.71378,0.84108,0.67791
4005001600,5,0.01572,1,0.97862,0,0.08714,0,0.16213,0,0.04182,0,0.00692,1,0.00189,1,0.08679,0,0.89277,0,0.02737,0,0.34204,0,0.014,0.01865,3150,119.75241,26.30427,0.00413,0.77559,0.68574,0.56157,0.78355
