Unnamed: 0,county_code,name,address,lat,lon
108,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
109,5,,US-89 CAMERON AZ 86020,35.87563,-111.41193
110,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
111,5,,COPPERMINE CHAPTER HOUSE COPPERMINE AZ 86040,36.61956,-111.45342
112,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
113,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
114,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
115,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
116,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
117,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
118,5,,6555 TOWNSEND WINONA RD FLAGSTAFF AZ 86004,35.24959,-111.53272
119,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
120,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
121,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
122,5,,6050 E FIREHOUSE LN (PAST HIGH COUNTRY HUMANE) FLAGSTAFF AZ 86004,35.30727,-111.5418
123,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
124,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
125,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
126,5,,6050 E FIREHOUSE LN (PAST HIGH COUNTRY HUMANE) FLAGSTAFF AZ 86004,35.30727,-111.5418
127,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
128,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
129,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
130,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
131,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
132,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
133,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
134,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
135,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
136,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
137,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
138,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
139,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
140,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
141,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
142,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
143,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
144,5,,20 S ENTRANCE RD GRAND CANYON VILLAGE AZ 86023,36.05488,-112.12225
145,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
146,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
147,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
148,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
149,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
150,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
151,5,,TS'AH BII KIN (INSCRIPTION HOUSE) INSCRIPTION HOUSE AZ 86054,36.65013,-110.7624
152,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
153,5,,3350 OLD MUNDS PARK HWY FLAGSTAFF AZ 86005,35.09381,-111.67902
154,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
155,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
156,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
157,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
158,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
159,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
160,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
161,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
162,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
163,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
164,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
165,5,,KAIBETO SENIOR CENTER KAIBETO AZ 86053,36.60329,-111.07466
166,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
167,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
168,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
169,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
170,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
171,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
172,5,,ROUTE 20 COPPERMINE RD LECHEE AZ 86040,36.86466,-111.44388
173,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
174,5,,LEUPP CHAPTER HOUSE LEUPP AZ 86035,35.29453,-111.00439
175,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
176,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
177,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
178,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
179,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
180,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
181,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
182,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
183,5,,NAVAJO MOUNTAIN NAVAJO MOUNTAIN AZ 86044,37.01944,-110.79125
184,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
185,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
186,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
187,5,,551 SAN FRANCISCO RD PAGE AZ 86040,36.90479,-111.46711
188,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
189,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
190,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
191,5,,697 VISTA AVE PAGE AZ 86040,36.91915,-111.46122
